,index,Lat,Lng,City,Country,Temp,Humidity,Date,Wind Speed,Cloudiness
125,21,62.9994450215157,133.37334601136803,churapcha,ru,61.67,41,1527821963,9.86,0.0
126,129,-38.21231551165026,121.7938343687922,esperance,au,77,94,1527818400,6.93,40.0
127,1438,37.22202527662586,40.06677562801559,viransehir,tr,62.66,71,1527821963,4.05,24.0
129,1157,54.789906521002194,32.10087375974874,smolensk,ru,42.68,82,1527821963,2.93,0.0
130,1472,35.02836091459315,0.9676461380655894,sidi ali,dz,55.55,90,1527821964,1.7,44.0
131,110,54.086606930750264,56.03789857967436,tolbazy,ru,41,65,1527820200,8.95,40.0
133,430,-71.02096850532075,49.35662493623184,east london,za,67.7,100,1527821680,16.46,0.0
134,360,19.03590912928678,45.55347918929698,najran,sa,78.8,54,1527818400,3.94,0.0
135,259,78.6971442722951,174.81920029466983,komsomolskiy,ru,28.28,95,1527821965,16.69,100.0
136,1214,49.73007787723418,-81.20534840663343,cochrane,ca,10.55,99,1527821965,2.37,36.0
137,1313,-36.031879994059054,152.8362021179463,kiama,au,59,51,1527818400,23.04,75.0
138,1330,9.058102226622083,-2.3397170939158514,bouna,ci,72.29,99,1527821965,3.38,68.0
139,398,42.12311652374183,-101.47054734894193,north platte,us,73.4,64,1527817980,6.93,1.0
141,1148,26.55580920065735,108.42428492748502,kaili,cn,79.94,73,1527821966,3.94,24.0
143,41,-32.10940083684326,-80.74665014588598,talcahuano,cl,46.4,65,1527818400,10.29,0.0
144,100,-59.87082236191678,-30.673034019683257,mar del plata,ar,23.78,100,1527821878,3.94,0.0
145,1295,14.206302405790424,115.56003522737495,cabra,ph,57.2,81,1527820200,4.61,8.0
146,305,35.67162105426877,-17.122846172333624,camacha,pt,66.2,82,1527820200,12.75,40.0
147,1375,-20.84747115663714,136.6917821063543,mount isa,au,73.4,15,1527818400,9.17,0.0
148,231,57.38376751098693,26.01029650026811,smiltene,lv,48.35,60,1527821967,2.93,0.0
149,98,27.465828273769617,30.046807656060395,abnub,eg,77,36,1527818400,4.7,0.0
150,690,49.41985231949195,126.21959263867575,nenjiang,cn,83.72,47,1527821968,12.21,56.0
151,1017,89.83681022840722,36.4680233190669,vardo,no,71.6,100,1527820500,2.37,75.0
152,1125,67.27646204962855,135.37976261564916,batagay,ru,53.93,61,1527821968,1.92,56.0
153,365,-3.580599838988036,98.89406899162702,sungaipenuh,id,75.98,80,1527821968,0.58,0.0
154,1023,-28.30471135391401,120.57994851453452,northam,au,60.8,93,1527817800,2.24,76.0
155,682,14.707821183931685,-41.404421285662806,cayenne,gf,77,100,1527820200,2.24,90.0
157,566,-7.53914408073085,159.27273641234842,buala,sb,84.35,85,1527821969,4.61,92.0
158,29,69.78695312550232,-170.14396029436236,lavrentiya,ru,33.32,94,1527821969,3.27,68.0
159,95,44.564483749360335,68.5850099070081,kentau,kz,65,28,1527821970,2.37,0.0
160,704,19.624830356671282,4.616208949892325,arlit,ne,72.2,25,1527821970,3.04,0.0
161,66,56.369043648046045,-2.9938664913884736,cupar,gb,51.8,100,1527819600,2.24,75.0
163,177,70.11077120034918,119.4915271687193,zhigansk,ru,46.73,83,1527821976,10.65,44.0
164,978,59.92313035670918,127.36708761780119,tommot,ru,65.27,46,1527821977,3.49,0.0
166,8,-70.91756913946432,18.396690004379593,bredasdorp,za,59,82,1527818400,14.99,92.0
